Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DEN,"Denver, CO: Denver International",2015/11,11,November,2015,698,1902,3858,2,206,"Hawaiian Airlines Inc.,JetBlue Airways",2,51,3665,2,24184,27902,67092,56448,78560,384,227323,24839
SFO,"San Francisco, CA: San Francisco International",2008/02,2,February,2008,1584,69,2602,5,408,"Spirit Airlines Inc.,United Air Lines Inc.",2,264,9953,48,29131,39396,55296,33201,80647,103,206678,37431
ORD,"Chicago, IL: O'Hare International",2009/10,10,October,2009,548,139,3052,13,373,"Allegiant Air,Delta Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.",4,146,4110,5,24691,28952,4700,95915,81144,127,183315,1429
SFO,"San Francisco, CA: San Francisco International",2020/03,3,March,2020,750,1201,3325,25,307,"JetBlue Airways,Southwest Airlines Co.,Alaska Airlines Inc.,Hawaiian Airlines Inc.",4,117,6725,3,9735,16580,34731,49731,40525,1343,150028,23698
LAX,"Los Angeles, CA: Los Angeles International",2001/03,3,March,2001,113,1119,2551,1,737,"Alaska Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Sun Country Airlines,United Air Lines Inc.",6,278,8026,39,29094,37437,26512,10547,65515,1648,127118,22896
BOS,"Boston, MA: Logan International",2022/04,4,April,2022,399,361,1325,18,2,"Southwest Airlines Co.,JetBlue Airways,Spirit Airlines Inc.",3,53,9758,50,10236,20097,4484,17826,27622,1922,97571,45717
SFO,"San Francisco, CA: San Francisco International",2001/10,10,October,2001,361,283,1722,24,609,"Alaska Airlines Inc.,Allegiant Air,Spirit Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.",7,48,4167,27,18542,22784,61069,75412,93749,793,242993,11970
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/12,12,December,2004,1005,914,3852,14,445,"Southwest Airlines Co.,Frontier Airlines Inc.,American Airlines Inc.",3,158,763,37,7604,8562,17535,75604,112441,1991,222481,14910
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/11,11,November,2005,642,934,1189,21,769,"Southwest Airlines Co.,Spirit Airlines Inc.,United Air Lines Inc.",3,205,9201,30,29882,39318,53571,44647,26667,1850,153842,27107
JFK,"New York, NY: John F. Kennedy International",2003/05,5,May,2003,759,1093,3748,15,34,"American Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.",7,282,5695,18,10635,16630,17752,13565,29410,116,76186,15343
DEN,"Denver, CO: Denver International",2021/07,7,July,2021,559,2196,2758,8,504,"JetBlue Airways,Frontier Airlines Inc.,Spirit Airlines Inc.,Delta Air Lines Inc.,Allegiant Air,American Airlines Inc.,Southwest Airlines Co.",7,109,7839,9,11572,19529,75166,3303,6450,964,119508,33625
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2000/08,8,August,2000,1916,561,2860,24,800,"American Airlines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,JetBlue Airways",6,41,739,47,9711,10538,65549,40997,82488,61,206300,17205
LAX,"Los Angeles, CA: Los Angeles International",2001/05,5,May,2001,1197,2193,1636,15,637,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,JetBlue Airways",5,117,1507,5,18765,20394,76865,71526,10370,4,177260,18495
LAX,"Los Angeles, CA: Los Angeles International",2001/04,4,April,2001,321,2348,209,15,432,"JetBlue Airways,Spirit Airlines Inc.,Allegiant Air",3,61,9834,26,6678,16599,69300,95140,10233,1016,204416,28727
DEN,"Denver, CO: Denver International",2009/01,1,January,2009,95,451,2894,27,795,"Delta Air Lines Inc.,Hawaiian Airlines Inc.,Alaska Airlines Inc.,Sun Country Airlines",4,64,8238,18,27230,35550,13912,92309,25925,829,179817,46842
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/01,1,January,2005,1717,690,2953,25,270,"Delta Air Lines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.",3,110,9312,44,5619,15085,57148,50303,82080,1943,196339,4865
BOS,"Boston, MA: Logan International",2019/02,2,February,2019,924,1589,635,9,116,"United Air Lines Inc.,American Airlines Inc.,Frontier Airlines Inc.",3,150,8715,44,19626,28535,34423,3008,52925,1136,103683,12191
SEA,"Seattle, WA: Seattle-Tacoma International",2011/11,11,November,2011,1310,1512,553,19,426,"United Air Lines Inc.,Delta Air Lines Inc.,Sun Country Airlines,JetBlue Airways,Hawaiian Airlines Inc.,Alaska Airlines Inc.,American Airlines Inc.",7,46,8451,6,20663,29166,20757,13470,96008,1036,133326,2055
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2010/11,11,November,2010,1474,1060,2262,10,351,"Sun Country Airlines,American Airlines Inc.,Southwest Airlines Co.,JetBlue Airways,Alaska Airlines Inc.,Delta Air Lines Inc.",6,256,2563,39,7128,9986,51405,7085,68600,283,140044,12671
BOS,"Boston, MA: Logan International",2004/01,1,January,2004,661,1750,113,0,301,"United Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways",4,184,7193,24,20041,27442,16507,58081,63022,1771,141986,2605
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2002/12,12,December,2002,770,2075,3595,4,232,"Spirit Airlines Inc.,American Airlines Inc.,Allegiant Air,Delta Air Lines Inc.,Hawaiian Airlines Inc.",5,210,4241,39,29332,33822,43796,55494,109961,1386,213426,2789
ORD,"Chicago, IL: O'Hare International",2009/04,4,April,2009,217,509,3865,8,471,"Delta Air Lines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,Frontier Airlines Inc.",4,221,8861,10,21888,30980,56197,47437,3881,1756,137887,28616
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/08,8,August,2007,1242,2071,2914,12,526,"Allegiant Air,Alaska Airlines Inc.,Spirit Airlines Inc.",3,47,4497,13,22990,27547,48467,68807,95189,1145,231661,18053
JFK,"New York, NY: John F. Kennedy International",2018/04,4,April,2018,544,2384,2417,13,190,"Alaska Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.",3,60,6126,15,29803,36004,4569,85086,53724,131,147756,4246
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2022/08,8,August,2022,100,2452,2077,26,177,"Frontier Airlines Inc.,United Air Lines Inc.,Sun Country Airlines,JetBlue Airways,Southwest Airlines Co.,Spirit Airlines Inc.",6,261,7604,32,8332,16229,14326,81588,13406,197,156341,46824
SFO,"San Francisco, CA: San Francisco International",2021/08,8,August,2021,1970,937,3545,22,490,"Spirit Airlines Inc.,Sun Country Airlines",2,257,4503,5,22493,27258,7364,21580,70888,1122,145236,44282
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/02,2,February,2005,438,1270,3577,21,172,"Sun Country Airlines,Delta Air Lines Inc.,Alaska Airlines Inc.,American Airlines Inc.",4,52,5758,48,16001,21859,12022,23017,66083,1339,142449,39988
SFO,"San Francisco, CA: San Francisco International",2009/07,7,July,2009,1690,1136,2702,2,299,"Spirit Airlines Inc.,JetBlue Airways",2,244,4058,23,11890,16215,55334,93734,113033,254,312025,49670
ORD,"Chicago, IL: O'Hare International",2019/09,9,September,2019,1112,1679,2472,1,12,"Delta Air Lines Inc.,Frontier Airlines Inc.",2,166,2048,4,27833,30051,62513,25098,100514,118,211385,23142
JFK,"New York, NY: John F. Kennedy International",2018/05,5,May,2018,484,96,1141,16,367,"Southwest Airlines Co.,United Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.",6,12,1937,45,20976,22970,42812,38120,105426,1661,222538,34519
JFK,"New York, NY: John F. Kennedy International",2020/07,7,July,2020,1378,842,1718,19,572,"JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Alaska Airlines Inc.",4,227,2425,30,5713,8395,3618,81996,16627,380,130334,27713
DEN,"Denver, CO: Denver International",2009/01,1,January,2009,626,1300,3008,11,705,"United Air Lines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,American Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.",6,85,9607,45,26709,36446,18634,57467,10088,1551,99213,11473
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2017/01,1,January,2017,1142,2203,651,17,143,"Southwest Airlines Co.,American Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.,Allegiant Air,Hawaiian Airlines Inc.",6,185,4651,13,7003,11852,13686,7999,96494,952,136029,16898
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2018/07,7,July,2018,655,2307,161,18,737,"American Airlines Inc.,Hawaiian Airlines Inc.,Delta Air Lines Inc.",3,148,7477,50,14070,21745,22716,91987,62834,988,183388,4863
SFO,"San Francisco, CA: San Francisco International",2024/07,7,July,2024,1939,2273,3610,26,677,"Frontier Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.",4,228,7822,6,14648,22704,22004,39527,39158,668,124557,23200
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2020/01,1,January,2020,1048,1769,2921,12,238,"United Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.,American Airlines Inc.",4,270,9810,34,19008,29122,57937,8943,27042,1574,110389,14893
DEN,"Denver, CO: Denver International",2013/06,6,June,2013,1181,915,948,1,270,"Alaska Airlines Inc.,Hawaiian Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.,Allegiant Air",6,296,9498,23,21140,30957,14505,70778,50339,802,138854,2430
ORD,"Chicago, IL: O'Hare International",2021/03,3,March,2021,895,1975,463,6,510,"Alaska Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.",7,140,4829,19,14879,19867,32950,52810,97714,1181,192380,7725
DEN,"Denver, CO: Denver International",2015/08,8,August,2015,1670,2443,1059,23,381,"Southwest Airlines Co.,JetBlue Airways,Spirit Airlines Inc.",3,91,7165,0,22736,29992,23038,5890,115481,137,176739,32193
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2009/08,8,August,2009,1638,726,2920,20,419,"United Air Lines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.,Southwest Airlines Co.",5,95,9583,7,8508,18193,6783,42664,34833,948,89078,3850
ORD,"Chicago, IL: O'Hare International",2014/08,8,August,2014,1496,1598,2949,21,630,"Sun Country Airlines,American Airlines Inc.,United Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.,Delta Air Lines Inc.",6,90,5815,27,12362,18294,57629,44130,58173,755,183918,23231
SFO,"San Francisco, CA: San Francisco International",2021/04,4,April,2021,986,573,105,21,372,"Allegiant Air,Southwest Airlines Co.,Hawaiian Airlines Inc.,Alaska Airlines Inc.",4,197,8417,8,5833,14455,69447,15250,6045,51,92248,1455
DEN,"Denver, CO: Denver International",2022/08,8,August,2022,605,1963,503,20,446,"Hawaiian Airlines Inc.,Spirit Airlines Inc.",2,222,636,39,22697,23594,49192,65320,6562,1149,170155,47932
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2014/06,6,June,2014,1226,961,526,10,461,"Southwest Airlines Co.,Spirit Airlines Inc.,Delta Air Lines Inc.,American Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,Sun Country Airlines",7,13,4022,14,23028,27077,61061,63973,42225,324,208019,40436
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/03,3,March,2004,1080,2003,2504,24,134,"Southwest Airlines Co.,Allegiant Air,United Air Lines Inc.,Hawaiian Airlines Inc.,American Airlines Inc.",5,300,8042,14,18535,26891,69959,26473,92725,893,203746,13696
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2001/06,6,June,2001,1924,286,2996,28,736,"United Air Lines Inc.,Allegiant Air,Delta Air Lines Inc.,Spirit Airlines Inc.",4,159,5387,21,23963,29530,56031,92573,17430,304,191100,24762
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2002/02,2,February,2002,311,1636,3578,7,646,"United Air Lines Inc.,American Airlines Inc.,Frontier Airlines Inc.",3,123,3766,7,11605,15501,14807,89624,65674,302,175308,4901
SFO,"San Francisco, CA: San Francisco International",2023/10,10,October,2023,791,310,2330,15,292,"Hawaiian Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.",3,53,1494,17,29510,31074,63205,41200,44243,1390,199848,49810
ORD,"Chicago, IL: O'Hare International",2019/08,8,August,2019,1667,381,1341,21,153,"Southwest Airlines Co.,Delta Air Lines Inc.,JetBlue Airways,Sun Country Airlines",4,190,5232,28,27534,32984,44080,32067,77312,1160,156461,1842
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2018/03,3,March,2018,1570,1556,2651,2,513,"Hawaiian Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.",3,84,1627,24,8345,10080,51634,44014,31053,826,133804,6277
BOS,"Boston, MA: Logan International",2019/09,9,September,2019,306,1649,2560,25,168,"Sun Country Airlines,United Air Lines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.,JetBlue Airways",7,39,2090,32,9585,11746,19864,7762,33141,1094,78824,16963
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2009/05,5,May,2009,1950,743,3462,9,176,"Delta Air Lines Inc.,Allegiant Air",2,172,4783,22,7506,12483,21228,68751,49811,39,143309,3480
LAX,"Los Angeles, CA: Los Angeles International",2005/03,3,March,2005,212,2223,2468,8,712,"American Airlines Inc.,Alaska Airlines Inc.,Spirit Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.",7,85,5479,40,19024,24628,14428,39646,102871,416,181210,23849
SEA,"Seattle, WA: Seattle-Tacoma International",2021/06,6,June,2021,1679,489,1970,15,169,"Alaska Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.,United Air Lines Inc.",4,48,9982,10,10089,20129,31935,53278,32846,99,147710,29552
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2016/11,11,November,2016,1092,2023,2140,13,659,"Spirit Airlines Inc.,Delta Air Lines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.",4,122,7565,9,28625,36321,71937,90021,49290,1366,261382,48768
SEA,"Seattle, WA: Seattle-Tacoma International",2019/02,2,February,2019,1640,1473,3251,29,603,"JetBlue Airways,Southwest Airlines Co.",2,119,9112,19,26656,35906,23033,4174,99286,1961,160189,31735
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2019/05,5,May,2019,97,2167,101,26,523,"American Airlines Inc.,Allegiant Air,JetBlue Airways,Frontier Airlines Inc.,Alaska Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.",7,181,1023,31,5846,7081,38583,17217,4136,1253,67116,5927
LAX,"Los Angeles, CA: Los Angeles International",2012/01,1,January,2012,693,1357,1442,26,523,"Alaska Airlines Inc.,Frontier Airlines Inc.,Allegiant Air",3,11,2468,45,25805,28329,38632,65944,56720,1710,212206,49200
LAX,"Los Angeles, CA: Los Angeles International",2018/03,3,March,2018,434,1275,73,20,313,"American Airlines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Sun Country Airlines",5,161,3386,8,13587,17142,47208,59511,103496,1560,213953,2178
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2015/10,10,October,2015,858,1756,131,19,651,"Allegiant Air,Alaska Airlines Inc.",2,279,9139,2,6887,16307,49836,59505,32479,1009,158811,15982
LAX,"Los Angeles, CA: Los Angeles International",2023/06,6,June,2023,1709,2021,2028,22,100,"American Airlines Inc.,Spirit Airlines Inc.,United Air Lines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.",5,281,8973,46,21303,30603,65278,74807,16530,931,207064,49518
LAX,"Los Angeles, CA: Los Angeles International",2013/11,11,November,2013,1056,810,1422,29,555,"Spirit Airlines Inc.,United Air Lines Inc.",2,75,2522,5,27480,30082,10003,54718,114595,691,192847,12840
SFO,"San Francisco, CA: San Francisco International",2007/07,7,July,2007,248,153,2348,8,636,"Hawaiian Airlines Inc.,Alaska Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.",5,265,520,50,20325,21160,12424,89257,53617,51,187009,31660
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2000/12,12,December,2000,639,266,189,7,79,"Alaska Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways",3,114,2484,6,24482,27086,70591,1049,32500,1406,115304,9758
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2015/07,7,July,2015,349,1431,809,25,135,"Alaska Airlines Inc.,Sun Country Airlines,Frontier Airlines Inc.",3,53,3767,28,29423,33271,56438,99602,25833,1399,203824,20552
SFO,"San Francisco, CA: San Francisco International",2010/12,12,December,2010,695,1407,101,20,57,"American Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.",7,142,4922,4,14386,19454,40417,36163,61820,1455,181146,41291
BOS,"Boston, MA: Logan International",2009/10,10,October,2009,1687,1146,3370,7,109,"Alaska Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,Sun Country Airlines",6,77,2206,16,29361,31660,10666,34696,74573,1774,147835,26126
DEN,"Denver, CO: Denver International",2016/05,5,May,2016,1378,1954,3736,16,338,"Sun Country Airlines,Spirit Airlines Inc.,United Air Lines Inc.",3,138,6007,12,15057,21214,25300,45408,22480,1890,119371,24293
DEN,"Denver, CO: Denver International",2005/11,11,November,2005,246,2251,1242,11,51,"American Airlines Inc.,Allegiant Air",2,171,3642,11,27016,30840,12420,86060,89131,1235,206489,17643
SFO,"San Francisco, CA: San Francisco International",2023/04,4,April,2023,1385,1969,3878,18,424,"Southwest Airlines Co.,Delta Air Lines Inc.,Allegiant Air,Frontier Airlines Inc.,JetBlue Airways,Spirit Airlines Inc.",6,188,7945,48,29729,37910,69904,25743,6873,445,144989,42024
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2000/04,4,April,2000,934,1539,2255,30,9,"American Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways",6,78,8544,14,25576,34212,35195,25974,119571,1272,188775,6763
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2020/01,1,January,2020,1199,2002,905,30,396,"Southwest Airlines Co.,Spirit Airlines Inc.",2,233,5189,36,21653,27111,26637,89839,33349,705,166574,16044
LAX,"Los Angeles, CA: Los Angeles International",2015/01,1,January,2015,852,1264,1031,5,307,"United Air Lines Inc.,American Airlines Inc.",2,108,1304,30,9450,10892,62137,20741,97001,282,225529,45368
DEN,"Denver, CO: Denver International",2009/10,10,October,2009,158,2129,2152,15,199,"Spirit Airlines Inc.,United Air Lines Inc.,American Airlines Inc.,JetBlue Airways,Frontier Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.",7,240,779,44,29858,30921,42030,94855,79576,608,220792,3723
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2016/12,12,December,2016,316,170,3968,11,495,"United Air Lines Inc.,Sun Country Airlines,JetBlue Airways",3,131,1958,33,11118,13240,38319,89305,3331,1673,144328,11700
LAX,"Los Angeles, CA: Los Angeles International",2017/09,9,September,2017,192,1667,3639,11,49,"United Air Lines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Spirit Airlines Inc.",7,198,2231,31,28382,30842,67513,21270,91439,1404,218805,37179
DEN,"Denver, CO: Denver International",2003/03,3,March,2003,1898,971,3373,16,75,"Allegiant Air,Alaska Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.,JetBlue Airways",7,175,4702,20,18269,23166,16952,81426,39104,918,163757,25357
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/02,2,February,2004,1816,1432,641,13,648,"Spirit Airlines Inc.,JetBlue Airways,Sun Country Airlines,Delta Air Lines Inc.,Allegiant Air",5,207,9657,25,11567,21456,63057,96859,117036,1766,319174,40456
ORD,"Chicago, IL: O'Hare International",2003/11,11,November,2003,1553,1337,2969,21,183,"JetBlue Airways,Alaska Airlines Inc.,United Air Lines Inc.,Delta Air Lines Inc.,Allegiant Air",5,52,9519,3,21699,31273,5331,48781,82257,1809,164039,25861
BOS,"Boston, MA: Logan International",2007/05,5,May,2007,185,1761,1079,19,216,"Allegiant Air,Frontier Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.",4,252,4642,22,7006,11922,62012,1852,24037,1038,95747,6808
JFK,"New York, NY: John F. Kennedy International",2022/04,4,April,2022,751,1299,1665,17,689,"Sun Country Airlines,Southwest Airlines Co.,JetBlue Airways,Frontier Airlines Inc.,Delta Air Lines Inc.",5,212,9401,15,27889,37517,65525,15245,115103,1403,210417,13141
SFO,"San Francisco, CA: San Francisco International",2005/05,5,May,2005,902,1088,2145,9,78,"Delta Air Lines Inc.,American Airlines Inc.",2,293,6463,48,26100,32904,60753,62829,64857,1624,223741,33678
SFO,"San Francisco, CA: San Francisco International",2000/08,8,August,2000,1648,1543,408,8,246,"Spirit Airlines Inc.,Allegiant Air,JetBlue Airways,United Air Lines Inc.",4,131,2928,39,29990,33088,41904,43015,31497,654,159586,42516
JFK,"New York, NY: John F. Kennedy International",2007/02,2,February,2007,455,200,438,1,655,"JetBlue Airways,Allegiant Air,Delta Air Lines Inc.,Alaska Airlines Inc.",4,177,6367,43,12783,19370,6586,9787,75768,619,137792,45032
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2014/12,12,December,2014,500,1320,3042,17,240,"United Air Lines Inc.,American Airlines Inc.,Spirit Airlines Inc.",3,96,9277,14,23096,32483,10207,3802,13097,242,69418,42070
JFK,"New York, NY: John F. Kennedy International",2014/07,7,July,2014,1110,369,1402,20,527,"Allegiant Air,American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.",5,299,2182,32,27237,29750,25350,59876,88206,377,220363,46554
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2023/05,5,May,2023,281,1191,2538,4,556,"Delta Air Lines Inc.,JetBlue Airways",2,151,7697,4,22234,30086,50954,28666,1679,1974,91002,7729
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/08,8,August,2004,1397,1418,1229,12,254,"Alaska Airlines Inc.,JetBlue Airways,Southwest Airlines Co.,United Air Lines Inc.,Spirit Airlines Inc.,Allegiant Air,Sun Country Airlines",7,37,1848,41,24501,26427,18229,2225,61058,752,111444,29180
ORD,"Chicago, IL: O'Hare International",2002/06,6,June,2002,122,2097,3372,4,513,"Frontier Airlines Inc.,JetBlue Airways",2,220,9313,20,13269,22822,27428,64621,41659,165,174395,40522
LAX,"Los Angeles, CA: Los Angeles International",2012/12,12,December,2012,844,1925,648,0,530,"United Air Lines Inc.,Allegiant Air,American Airlines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways",7,286,8749,41,8636,17712,69669,98730,14821,598,188596,4778
SFO,"San Francisco, CA: San Francisco International",2020/11,11,November,2020,1716,677,649,21,687,"United Air Lines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Sun Country Airlines,Frontier Airlines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.",7,146,4739,10,8956,13851,18015,40780,25060,1808,122498,36835
JFK,"New York, NY: John F. Kennedy International",2008/10,10,October,2008,908,2148,3152,0,773,"United Air Lines Inc.,Delta Air Lines Inc.,Alaska Airlines Inc.",3,278,3647,20,6398,10343,57831,46929,109756,1802,252384,36066
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2016/01,1,January,2016,1831,1029,2155,15,20,"Alaska Airlines Inc.,Spirit Airlines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,American Airlines Inc.",5,141,6655,39,6056,12891,4521,10276,78542,1119,102134,7676
SEA,"Seattle, WA: Seattle-Tacoma International",2001/02,2,February,2001,1143,262,106,29,18,"Allegiant Air,American Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.",4,283,1406,35,29398,31122,56165,45525,76985,953,182429,2801
BOS,"Boston, MA: Logan International",2015/10,10,October,2015,717,1673,61,4,716,"Sun Country Airlines,JetBlue Airways,Hawaiian Airlines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Allegiant Air",6,89,3825,18,20670,24602,13497,52020,8097,207,115999,42178
DEN,"Denver, CO: Denver International",2010/07,7,July,2010,992,1755,3488,24,739,"Alaska Airlines Inc.,Sun Country Airlines,Frontier Airlines Inc.,Delta Air Lines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.",7,182,3263,48,29728,33221,56809,72546,80777,121,237670,27417
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2001/01,1,January,2001,300,650,1406,2,509,"Southwest Airlines Co.,Allegiant Air,Alaska Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,United Air Lines Inc.",7,239,9297,10,18716,28262,21452,72278,23009,1740,132255,13776
SFO,"San Francisco, CA: San Francisco International",2004/06,6,June,2004,647,1610,2331,0,106,"Frontier Airlines Inc.,American Airlines Inc.",2,209,1409,46,15302,16966,7107,92299,105714,1864,215866,8882
BOS,"Boston, MA: Logan International",2018/11,11,November,2018,78,135,2513,23,171,"Allegiant Air,Hawaiian Airlines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.",6,55,8487,21,27792,36355,20462,69052,51030,701,155921,14676
LAX,"Los Angeles, CA: Los Angeles International",2023/07,7,July,2023,84,2449,2395,9,678,"United Air Lines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Alaska Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.",7,198,8630,33,25703,34564,68971,46228,105486,271,261623,40667
ORD,"Chicago, IL: O'Hare International",2011/03,3,March,2011,1555,2479,3928,15,323,"Southwest Airlines Co.,Hawaiian Airlines Inc.",2,83,5894,9,19063,25049,25141,29494,11556,637,99041,32213
BOS,"Boston, MA: Logan International",2000/06,6,June,2000,1270,651,213,16,94,"Allegiant Air,Delta Air Lines Inc.,Alaska Airlines Inc.",3,186,6923,49,10124,17282,57165,73891,81844,1907,235749,20942
DEN,"Denver, CO: Denver International",2005/02,2,February,2005,804,870,1947,7,589,"American Airlines Inc.,JetBlue Airways",2,273,3463,48,17586,21370,34513,40955,38095,997,155865,41305
